               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11659,            0.070886,            0.046545,            0.024449,            0.010603,           0.0020665,           0.0004726,              0.1109,             0.06642,            0.041243,             0.00012,             0.00012,             0.09892
                   1,             0.11004,             0.07905,            0.038141,            0.019189,            0.040121,            0.007758,            0.001545,             0.10255,            0.071475,            0.031537,          0.00024999,          0.00024999,             0.09775
                   2,              0.1029,            0.079496,            0.030077,             0.04587,             0.16177,            0.032015,           0.0062133,            0.093252,            0.071745,            0.022909,          0.00037996,          0.00037996,             0.09658
                   3,            0.092633,            0.078625,            0.022485,             0.37876,             0.21643,             0.11962,             0.02646,            0.086291,            0.078216,            0.015052,          0.00050989,          0.00050989,             0.09541
                   4,            0.085359,            0.068349,            0.015013,             0.60712,             0.29065,              0.1071,            0.023573,            0.082382,            0.091397,           0.0076091,          0.00063975,          0.00063975,             0.09424
                   5,            0.079658,            0.060385,            0.010854,             0.62826,             0.30383,             0.17473,            0.046357,            0.071658,            0.063635,           0.0053444,          0.00076953,          0.00076953,             0.09307
                   6,            0.078682,            0.060662,           0.0086226,             0.49677,             0.61653,             0.41382,             0.13152,            0.063815,            0.053615,           0.0044526,           0.0008992,           0.0008992,            0.091899
                   7,            0.076426,            0.056789,           0.0072814,             0.62069,             0.56434,             0.49714,             0.15822,            0.066846,            0.047907,           0.0041367,           0.0010288,           0.0010288,            0.090729
                   8,            0.076713,            0.054634,           0.0066922,             0.52843,             0.62042,             0.47415,             0.20113,            0.074102,            0.042712,           0.0038372,           0.0011582,           0.0011582,            0.089558
                   9,            0.075341,            0.052644,           0.0064236,             0.44494,             0.66772,             0.52278,             0.20554,            0.058252,            0.044668,           0.0038531,           0.0012874,           0.0012874,            0.088387
                  10,            0.073466,            0.051382,           0.0056873,              0.7782,             0.46484,             0.55381,             0.26508,            0.061345,            0.041751,           0.0035403,           0.0014165,           0.0014165,            0.087216
                  11,            0.070682,            0.049995,           0.0052768,             0.32419,              0.8602,             0.54483,             0.22353,            0.077069,            0.044219,           0.0028923,           0.0015454,           0.0015454,            0.086045
                  12,            0.071402,            0.052504,            0.005016,             0.51522,             0.77163,             0.75094,             0.32987,            0.058401,            0.046365,           0.0030966,            0.001674,            0.001674,            0.084874
                  13,            0.068638,            0.049535,           0.0047467,             0.43572,             0.83318,              0.6075,             0.24693,            0.055103,            0.043412,           0.0027312,           0.0018025,           0.0018025,            0.083702
                  14,             0.06673,            0.050368,           0.0042144,             0.50994,             0.83928,             0.66018,             0.27264,            0.056666,            0.041901,           0.0025008,           0.0019306,           0.0019306,            0.082531
                  15,            0.065199,            0.051999,           0.0042548,              0.5366,             0.78331,             0.71611,              0.3206,            0.054113,            0.041073,           0.0027009,           0.0020585,           0.0020585,            0.081359
                  16,            0.062603,            0.047049,           0.0040509,             0.68312,             0.62083,             0.61275,             0.24044,            0.056235,              0.0403,           0.0027049,           0.0021861,           0.0021861,            0.080186
